"Subcategory name","GUID","Purpose"
"Credential Validation","`{0CCE923F-69AE-11D9-BED3-505054503030}` footnoteref:[guid_ref]","Determines whether the operating system generates audit events on credentials that are submitted for a user account logon request."
"Kerberos Authentication Service","`{0CCE9242-69AE-11D9-BED3-505054503030}` footnoteref:[guid_ref]","Determines whether to generate audit events for Kerberos authentication ticket-granting ticket (TGT) requests.

If you configure this policy setting, an audit event is generated after a Kerberos authentication TGT request. Success audits record successful attempts and Failure audits record unsuccessful attempts."
"Kerberos Service Ticket Operations","`{0CCE9240-69AE-11D9-BED3-505054503030}` footnoteref:[guid_ref]","Determines whether the operating system generates security audit events for Kerberos service ticket requests.

Events are generated every time Kerberos is used to authenticate a user who wants to access a protected network resource. Kerberos service ticket operation audit events can be used to track user activity."
"Other Account Logon Events","`{0CCE9241-69AE-11D9-BED3-505054503030}` footnoteref:[guid_ref]","This auditing subcategory does not contain any events. It is intended for future use."
