"Subcategory name","GUID","Purpose"
"Detailed Directory Service Replication","`{0CCE923E-69AE-11D9-BED3-505054503030}` footnoteref:[guid_ref]","Determines whether the operating system generates audit events that contain detailed tracking information about data that is replicated between domain controllers."
"Directory Service Access","`{0CCE923B-69AE-11D9-BED3-505054503030}` footnoteref:[guid_ref]","Determines whether the operating system generates audit events when an Active Directory Domain Services (AD DS) object is accessed."
"Directory Service Changes","`{0CCE923C-69AE-11D9-BED3-505054503030}` footnoteref:[guid_ref]","Determines whether the operating system generates audit events when changes are made to objects in Active Directory Domain Services (AD DS)."
"Directory Service Replication","`{0CCE923E-69AE-11D9-BED3-505054503030}` footnoteref:[guid_ref]","Determines whether the operating system generates audit events when replication between two domain controllers begins and ends."
